annotator_id,pair_id,seed_id,model_left,model_right,winner,voted_at
juyoung,seed_00027__glm-5.1__vs__nemotron-nano,seed_00027,glm-5.1,nemotron-nano,right,2026-04-21T13:16:59+00:00
juyoung,seed_00012__glm-5.1__vs__nemotron-nano,seed_00012,glm-5.1,nemotron-nano,left,2026-04-21T13:17:13+00:00
juyoung,seed_00031__gpt-5.4__vs__nemotron-super,seed_00031,nemotron-super,gpt-5.4,left,2026-04-21T13:17:22+00:00
juyoung,seed_00012__glm-5.1__vs__gpt-5.4,seed_00012,gpt-5.4,glm-5.1,right,2026-04-21T13:17:27+00:00
juyoung,seed_00027__glm-5.1__vs__nemotron-super,seed_00027,glm-5.1,nemotron-super,right,2026-04-21T13:17:37+00:00
wonsuk_homunculus,seed_00006__gpt-5.4__vs__nemotron-nano,seed_00006,nemotron-nano,gpt-5.4,left,2026-04-21T13:17:51+00:00
juyoung,seed_00022__glm-5.1__vs__nemotron-nano,seed_00022,glm-5.1,nemotron-nano,left,2026-04-21T13:17:55+00:00
wonsuk_homunculus,seed_00007__gpt-5.4__vs__nemotron-nano,seed_00007,nemotron-nano,gpt-5.4,right,2026-04-21T13:18:08+00:00
juyoung,seed_00033__glm-5.1__vs__gpt-5.4,seed_00033,gpt-5.4,glm-5.1,left,2026-04-21T13:18:49+00:00
juyoung,seed_00008__gpt-5.4__vs__nemotron-nano,seed_00008,gpt-5.4,nemotron-nano,left,2026-04-21T13:19:02+00:00
wonsuk,seed_00000__glm-5.1__vs__nemotron-nano,seed_00000,nemotron-nano,glm-5.1,right,2026-04-21T13:19:05+00:00
wonsuk,seed_00025__glm-5.1__vs__nemotron-super,seed_00025,glm-5.1,nemotron-super,right,2026-04-21T13:19:08+00:00
wonsuk,seed_00034__glm-5.1__vs__nemotron-super,seed_00034,glm-5.1,nemotron-super,right,2026-04-21T13:19:10+00:00
wonsuk,seed_00027__gpt-5.4__vs__nemotron-nano,seed_00027,nemotron-nano,gpt-5.4,right,2026-04-21T13:19:17+00:00
wonsuk_homunculus,seed_00009__glm-5.1__vs__nemotron-super,seed_00009,glm-5.1,nemotron-super,left,2026-04-21T13:19:17+00:00
wonsuk,seed_00025__glm-5.1__vs__nemotron-nano,seed_00025,glm-5.1,nemotron-nano,tie,2026-04-21T13:19:23+00:00
juyoung,seed_00006__gpt-5.4__vs__nemotron-super,seed_00006,nemotron-super,gpt-5.4,left,2026-04-21T13:19:27+00:00
wonsuk,seed_00034__glm-5.1__vs__nemotron-nano,seed_00034,glm-5.1,nemotron-nano,right,2026-04-21T13:19:28+00:00
juyoung,seed_00031__glm-5.1__vs__nemotron-super,seed_00031,nemotron-super,glm-5.1,left,2026-04-21T13:19:31+00:00
Hongjoon,seed_00022__glm-5.1__vs__nemotron-super,seed_00022,glm-5.1,nemotron-super,right,2026-04-21T13:19:36+00:00
wonsuk,seed_00008__gpt-5.4__vs__nemotron-super,seed_00008,nemotron-super,gpt-5.4,left,2026-04-21T13:19:37+00:00
juyoung,seed_00027__glm-5.1__vs__gpt-5.4,seed_00027,glm-5.1,gpt-5.4,right,2026-04-21T13:19:37+00:00
Hongjoon,seed_00029__glm-5.1__vs__nemotron-super,seed_00029,glm-5.1,nemotron-super,right,2026-04-21T13:19:39+00:00
wonsuk_homunculus,seed_00012__glm-5.1__vs__nemotron-super,seed_00012,nemotron-super,glm-5.1,right,2026-04-21T13:19:40+00:00
wonsuk,seed_00029__glm-5.1__vs__nemotron-nano,seed_00029,glm-5.1,nemotron-nano,tie,2026-04-21T13:19:43+00:00
wonsuk_homunculus,seed_00034__glm-5.1__vs__gpt-5.4,seed_00034,glm-5.1,gpt-5.4,right,2026-04-21T13:19:45+00:00
Hongjoon,seed_00029__gpt-5.4__vs__nemotron-super,seed_00029,gpt-5.4,nemotron-super,right,2026-04-21T13:19:46+00:00
juyoung,seed_00000__gpt-5.4__vs__nemotron-super,seed_00000,gpt-5.4,nemotron-super,right,2026-04-21T13:19:52+00:00
wonsuk,seed_00033__glm-5.1__vs__nemotron-nano,seed_00033,nemotron-nano,glm-5.1,right,2026-04-21T13:19:53+00:00
juyoung,seed_00008__nemotron-nano__vs__nemotron-super,seed_00008,nemotron-super,nemotron-nano,left,2026-04-21T13:19:55+00:00
juyoung,seed_00031__glm-5.1__vs__gpt-5.4,seed_00031,gpt-5.4,glm-5.1,left,2026-04-21T13:19:57+00:00
Hongjoon,seed_00025__gpt-5.4__vs__nemotron-super,seed_00025,gpt-5.4,nemotron-super,left,2026-04-21T13:19:59+00:00
wonsuk,seed_00013__nemotron-nano__vs__nemotron-super,seed_00013,nemotron-nano,nemotron-super,left,2026-04-21T13:20:00+00:00
juyoung,seed_00012__gpt-5.4__vs__nemotron-super,seed_00012,gpt-5.4,nemotron-super,left,2026-04-21T13:20:05+00:00
Hongjoon,seed_00022__gpt-5.4__vs__nemotron-super,seed_00022,nemotron-super,gpt-5.4,left,2026-04-21T13:20:08+00:00
wonsuk,seed_00021__glm-5.1__vs__gpt-5.4,seed_00021,gpt-5.4,glm-5.1,right,2026-04-21T13:20:11+00:00
Hongjoon,seed_00033__gpt-5.4__vs__nemotron-super,seed_00033,gpt-5.4,nemotron-super,right,2026-04-21T13:20:17+00:00
wonsuk,seed_00027__nemotron-nano__vs__nemotron-super,seed_00027,nemotron-super,nemotron-nano,right,2026-04-21T13:20:18+00:00
Hongjoon,seed_00006__glm-5.1__vs__nemotron-super,seed_00006,nemotron-super,glm-5.1,left,2026-04-21T13:20:26+00:00
wonsuk,seed_00013__gpt-5.4__vs__nemotron-super,seed_00013,nemotron-super,gpt-5.4,right,2026-04-21T13:20:26+00:00
wonsuk,seed_00009__glm-5.1__vs__gpt-5.4,seed_00009,gpt-5.4,glm-5.1,left,2026-04-21T13:20:39+00:00
Hongjoon,seed_00012__gpt-5.4__vs__nemotron-nano,seed_00012,gpt-5.4,nemotron-nano,right,2026-04-21T13:20:41+00:00
juyoung,seed_00022__gpt-5.4__vs__nemotron-nano,seed_00022,gpt-5.4,nemotron-nano,left,2026-04-21T13:20:46+00:00
juyoung,seed_00021__gpt-5.4__vs__nemotron-nano,seed_00021,gpt-5.4,nemotron-nano,left,2026-04-21T13:20:47+00:00
wonsuk_homunculus,seed_00021__nemotron-nano__vs__nemotron-super,seed_00021,nemotron-nano,nemotron-super,right,2026-04-21T13:20:48+00:00
wonsuk,seed_00021__gpt-5.4__vs__nemotron-super,seed_00021,gpt-5.4,nemotron-super,tie,2026-04-21T13:20:49+00:00
Hongjoon,seed_00007__nemotron-nano__vs__nemotron-super,seed_00007,nemotron-super,nemotron-nano,right,2026-04-21T13:20:50+00:00
juyoung,seed_00007__glm-5.1__vs__nemotron-nano,seed_00007,nemotron-nano,glm-5.1,right,2026-04-21T13:20:52+00:00
wonsuk,seed_00013__glm-5.1__vs__nemotron-super,seed_00013,glm-5.1,nemotron-super,tie,2026-04-21T13:20:53+00:00
wonsuk,seed_00022__glm-5.1__vs__gpt-5.4,seed_00022,gpt-5.4,glm-5.1,right,2026-04-21T13:21:00+00:00
Hongjoon,seed_00033__gpt-5.4__vs__nemotron-nano,seed_00033,nemotron-nano,gpt-5.4,right,2026-04-21T13:21:00+00:00
juyoung,seed_00034__gpt-5.4__vs__nemotron-nano,seed_00034,gpt-5.4,nemotron-nano,right,2026-04-21T13:21:01+00:00
Hongjoon,seed_00025__nemotron-nano__vs__nemotron-super,seed_00025,nemotron-nano,nemotron-super,right,2026-04-21T13:21:03+00:00
Hongjoon,seed_00013__glm-5.1__vs__gpt-5.4,seed_00013,glm-5.1,gpt-5.4,right,2026-04-21T13:21:05+00:00
juyoung,seed_00000__glm-5.1__vs__gpt-5.4,seed_00000,gpt-5.4,glm-5.1,right,2026-04-21T13:21:08+00:00
wonsuk,seed_00009__gpt-5.4__vs__nemotron-nano,seed_00009,gpt-5.4,nemotron-nano,left,2026-04-21T13:21:08+00:00
wonsuk,seed_00025__glm-5.1__vs__gpt-5.4,seed_00025,glm-5.1,gpt-5.4,right,2026-04-21T13:21:13+00:00
juyoung,seed_00009__gpt-5.4__vs__nemotron-super,seed_00009,gpt-5.4,nemotron-super,right,2026-04-21T13:21:15+00:00
Hongjoon,seed_00008__glm-5.1__vs__gpt-5.4,seed_00008,glm-5.1,gpt-5.4,right,2026-04-21T13:21:15+00:00
Hongjoon,seed_00006__glm-5.1__vs__nemotron-nano,seed_00006,glm-5.1,nemotron-nano,right,2026-04-21T13:21:25+00:00
wonsuk,seed_00031__gpt-5.4__vs__nemotron-nano,seed_00031,gpt-5.4,nemotron-nano,left,2026-04-21T13:21:36+00:00
wonsuk,seed_00029__gpt-5.4__vs__nemotron-nano,seed_00029,gpt-5.4,nemotron-nano,left,2026-04-21T13:21:51+00:00
wonsuk,seed_00000__gpt-5.4__vs__nemotron-nano,seed_00000,nemotron-nano,gpt-5.4,right,2026-04-21T13:21:58+00:00
wonsuk_homunculus,seed_00033__glm-5.1__vs__nemotron-super,seed_00033,nemotron-super,glm-5.1,right,2026-04-21T13:21:59+00:00
wonsuk_homunculus,seed_00013__glm-5.1__vs__nemotron-nano,seed_00013,nemotron-nano,glm-5.1,left,2026-04-21T13:22:05+00:00
wonsuk_homunculus,seed_00029__glm-5.1__vs__gpt-5.4,seed_00029,gpt-5.4,glm-5.1,left,2026-04-21T13:22:09+00:00
wonsuk_homunculus,seed_00006__glm-5.1__vs__gpt-5.4,seed_00006,gpt-5.4,glm-5.1,right,2026-04-21T13:22:14+00:00
wonsuk_homunculus,seed_00007__glm-5.1__vs__nemotron-super,seed_00007,glm-5.1,nemotron-super,left,2026-04-21T13:22:30+00:00
wonsuk_homunculus,seed_00034__gpt-5.4__vs__nemotron-super,seed_00034,nemotron-super,gpt-5.4,right,2026-04-21T13:22:45+00:00
wonsuk_homunculus,seed_00013__gpt-5.4__vs__nemotron-nano,seed_00013,gpt-5.4,nemotron-nano,left,2026-04-21T13:23:08+00:00
juyoung,seed_00009__glm-5.1__vs__nemotron-nano,seed_00009,glm-5.1,nemotron-nano,left,2026-04-21T13:23:23+00:00
juyoung,seed_00027__gpt-5.4__vs__nemotron-super,seed_00027,gpt-5.4,nemotron-super,left,2026-04-21T13:23:33+00:00
wonsuk_homunculus,seed_00000__nemotron-nano__vs__nemotron-super,seed_00000,nemotron-nano,nemotron-super,right,2026-04-21T13:23:50+00:00
wonsuk_homunculus,seed_00034__nemotron-nano__vs__nemotron-super,seed_00034,nemotron-nano,nemotron-super,left,2026-04-21T13:23:59+00:00
wonsuk_homunculus,seed_00007__gpt-5.4__vs__nemotron-super,seed_00007,nemotron-super,gpt-5.4,right,2026-04-21T13:24:24+00:00
wonsuk_homunculus,seed_00007__glm-5.1__vs__gpt-5.4,seed_00007,glm-5.1,gpt-5.4,right,2026-04-21T13:26:36+00:00
wonsuk_homunculus,seed_00031__glm-5.1__vs__nemotron-nano,seed_00031,glm-5.1,nemotron-nano,right,2026-04-21T13:26:41+00:00
wonsuk_homunculus,seed_00021__glm-5.1__vs__nemotron-nano,seed_00021,glm-5.1,nemotron-nano,left,2026-04-21T13:26:48+00:00
wonsuk_homunculus,seed_00012__nemotron-nano__vs__nemotron-super,seed_00012,nemotron-super,nemotron-nano,right,2026-04-21T13:26:58+00:00
wonsuk_homunculus,seed_00022__nemotron-nano__vs__nemotron-super,seed_00022,nemotron-nano,nemotron-super,right,2026-04-21T13:27:02+00:00
Hongjoon,seed_00000__glm-5.1__vs__nemotron-super,seed_00000,nemotron-super,glm-5.1,right,2026-04-21T13:27:11+00:00
wonsuk_homunculus,seed_00029__nemotron-nano__vs__nemotron-super,seed_00029,nemotron-super,nemotron-nano,right,2026-04-21T13:27:13+00:00
Hongjoon,seed_00021__glm-5.1__vs__nemotron-super,seed_00021,nemotron-super,glm-5.1,left,2026-04-21T13:27:19+00:00
wonsuk_homunculus,seed_00009__nemotron-nano__vs__nemotron-super,seed_00009,nemotron-super,nemotron-nano,right,2026-04-21T13:27:23+00:00
Hongjoon,seed_00006__nemotron-nano__vs__nemotron-super,seed_00006,nemotron-super,nemotron-nano,left,2026-04-21T13:27:25+00:00
Hongjoon,seed_00008__glm-5.1__vs__nemotron-nano,seed_00008,nemotron-nano,glm-5.1,left,2026-04-21T13:27:41+00:00
Hongjoon,seed_00008__glm-5.1__vs__nemotron-super,seed_00008,glm-5.1,nemotron-super,right,2026-04-21T13:27:55+00:00
Hongjoon,seed_00025__gpt-5.4__vs__nemotron-nano,seed_00025,gpt-5.4,nemotron-nano,tie,2026-04-21T13:28:37+00:00
Hongjoon,seed_00033__nemotron-nano__vs__nemotron-super,seed_00033,nemotron-super,nemotron-nano,left,2026-04-21T13:28:47+00:00
Hongjoon,seed_00031__nemotron-nano__vs__nemotron-super,seed_00031,nemotron-super,nemotron-nano,right,2026-04-21T13:28:54+00:00
